             50	         O
      HERNANDEZ	     S-PER
              !	         O
      Excellent	         O
          block	         O
           from	         O
         Olsson	     S-PER
              ,	         O
            who	         O
         stands	         O
             up	         O
           tall	         O
             to	         O
           make	         O
           lift	         O
           hard	         O
            for	         O
            the	         O
       Spaniard	    S-MISC
              !	         O
         Lovely	         O
        passage	         O
             of	         O
           play	         O
           from	         O
        Swansea	     S-ORG
              ,	         O
             as	         O
          Michu	     S-PER
          opens	         O
             up	         O
           play	         O
             to	         O
            the	         O
           left	         O
           hand	         O
           side	         O
              ,	         O
         before	         O
              a	         O
           back	         O
           post	         O
          cross	         O
             is	         O
      cushioned	         O
           back	         O
             to	         O
            the	         O
         winger	         O
              .	         O

