             12	         O
           Goal	         O
         Nathan	     B-PER
           Dyer	     I-PER
      GOOOOOOAL	     E-PER
              !	         O
        SWANSEA	     S-ORG
           LEAD	         O
            1-0	         O
         THANKS	         O
             TO	         O
           DYER	     S-PER
              !	         O
            The	         O
          pacey	         O
         winger	         O
             is	         O
           sent	         O
        through	         O
             on	         O
           goal	         O
             by	         O
       Williams	     S-PER
              ,	         O
         before	         O
        lifting	         O
            the	         O
           ball	         O
           over	         O
            the	         O
      onrushing	         O
          Ruddy	     S-PER
           with	         O
           ease	         O
              !	         O
        Bassong	     S-PER
         should	         O
           have	         O
         denied	         O
            the	         O
     diminutive	         O
        Swansea	     S-LOC
            man	         O
           with	         O
              a	         O
         header	         O
         there.	         O

