             11	         O
             DE	     B-PER
         GUZMAN	     E-PER
              !	         O
            The	     B-LOC
    Netherlands	     E-LOC
  international	         O
          tries	         O
              a	         O
           very	         O
      ambitious	         O
      free-kick	         O
         effort	         O
           from	         O
             30	         O
          yards	         O
              ,	         O
            but	         O
            the	         O
     midfielder	         O
          fires	         O
            the	         O
           dead	         O
           ball	         O
           high	         O
            and	         O
           wide	         O
              .	         O
             No	         O
          clear	         O
        chances	         O
            for	         O
         either	         O
           side	         O
            yet	         O
              .	         O

