             87	         O
           BONY	         O
              !	         O
           Wide	         O
             of	         O
            the	         O
         target	         O
           from	         O
            the	         O
          Ivory	     B-LOC
          Coast	     E-LOC
        striker	         O
              ,	         O
           with	         O
        Shelvey	     S-PER
             in	         O
          acres	         O
             of	         O
          space	         O
             on	         O
            the	         O
           edge	         O
             of	         O
            the	         O
            box	         O
              !	         O
            The	         O
        England	     S-LOC
  international	         O
             is	         O
    complaining	         O
              ,	         O
            but	         O
            his	         O
       teammate	         O
            may	         O
           have	         O
        thought	         O
           that	         O
             he	         O
             'd	         O
        strayed	         O
        offside	         O
              .	         O
       Narrowly	         O
           wide	         O
             of	         O
            the	         O
           post	         O
           with	         O
              a	         O
         placed	         O
         finish	         O
              .	         O

