              7	         O
           Good	         O
          claim	         O
             by	         O
          Ruddy	     S-PER
              !	         O
            The	         O
        England	     S-LOC
  international	         O
          races	         O
            off	         O
            his	         O
           line	         O
           well	         O
             to	         O
          claim	         O
        Swansea	     S-ORG
             's	         O
          first	         O
      free-kick	         O
       delivery	         O
             of	         O
            the	         O
           game	         O
              ,	         O
        staying	         O
         strong	         O
             to	         O
          catch	         O
            the	         O
           ball	         O
           over	         O
            the	         O
          heads	         O
             of	         O
            two	         O
        Swansea	     S-ORG
        players	         O
              .	         O

