              1	         O
             We	         O
            are	         O
       underway	         O
             in	         O
            the	         O
          first	         O
           half	         O
              !	         O
           Both	         O
     respective	         O
        outfits	         O
            can	         O
             't	         O
         afford	         O
             to	         O
           lose	         O
           here	         O
          today	         O
              ,	         O
      otherwise	         O
           they	         O
            're	         O
             at	         O
         threat	         O
             of	         O
          being	         O
            sat	         O
             in	         O
              a	         O
     precarious	         O
       position	         O
        heading	         O
           into	         O
           2014	         O
              !	         O

