              3	         O
        Redmond	     S-PER
            has	         O
        already	         O
          shown	         O
           that	         O
             he	         O
            has	         O
            the	         O
        beating	         O
             of	         O
            Ben	     B-PER
         Davies	     E-PER
              ,	         O
       knocking	         O
            the	         O
           ball	         O
           past	         O
            the	         O
          Welsh	    S-MISC
      left-back	         O
         before	         O
         racing	         O
         around	         O
            his	         O
         marker	         O
              .	         O
            The	         O
    19-year-old	         O
           will	         O
             be	         O
            key	         O
            for	         O
            the	         O
          hosts	         O
        tonight	         O
              ,	         O
            his	         O
        ability	         O
             to	         O
        outpace	         O
            his	         O
            man	         O
         before	         O
       whipping	         O
             in	         O
              a	         O
         decent	         O
          cross	         O
           will	         O
             be	         O
              a	         O
          great	         O
         supply	         O
           line	         O
            for	         O
        feeding	         O
         Hooper	     S-PER
              .	         O

