             44	         O
             We	         O
            're	         O
           only	         O
              a	         O
         minute	         O
           from	         O
            the	         O
            end	         O
             of	         O
            the	         O
          first	         O
           half	         O
              ,	         O
            but	         O
          there	         O
           will	         O
             be	         O
              a	         O
    substantial	         O
         amount	         O
             of	         O
       stoppage	         O
           time	         O
             in	         O
          light	         O
             of	         O
           Dyer	     S-PER
             's	         O
         injury	         O
              .	         O
      Hopefully	         O
             we	         O
            'll	         O
            see	         O
            him	         O
        recover	         O
           soon	         O
              .	         O

