             29	         O
        REDMOND	     S-PER
              !	         O
              A	         O
           very	         O
      audacious	         O
         effort	         O
           from	         O
            the	         O
     Englishman	    S-MISC
             is	         O
        blocked	         O
             by	         O
         Davies	     S-PER
              .	         O
            The	         O
         chance	         O
        opening	         O
             up	         O
             as	         O
              a	         O
         result	         O
             of	         O
              a	         O
           poor	         O
           ball	         O
           from	         O
         Rangel	     S-PER
             to	         O
       Williams	     S-PER
              ,	         O
         before	         O
            the	         O
        Swansea	     S-ORG
        captain	         O
           took	         O
              a	         O
       terrible	         O
          touch	         O
              .	         O
            Not	         O
            the	         O
           most	         O
       assuring	         O
          stuff	         O
           from	         O
            the	         O
       visiting	         O
        defence	         O
              .	         O

