             27	         O
         HOOPER	     S-ORG
              !	         O
            The	         O
         former	         O
         Celtic	    S-MISC
            man	         O
             is	         O
          found	         O
           with	         O
              a	         O
        looping	         O
           back	         O
           post	         O
         header	         O
             by	         O
         Howson	     S-PER
              ,	         O
            but	         O
             he	         O
            can	         O
             't	         O
           turn	         O
             it	         O
        towards	         O
            the	         O
         target	         O
              !	         O
            The	         O
           ball	         O
        bounces	         O
           wide	         O
             of	         O
            the	         O
           post	         O
              ,	         O
            but	         O
           that	         O
             's	         O
    encouraging	         O
            for	         O
            the	         O
       Canaries	    S-MISC
              ,	         O
           they	         O
            've	         O
        managed	         O
             to	         O
           pick	         O
            out	         O
          their	         O
       isolated	         O
       frontman	         O
              .	         O

