              5	         O
      HERNANDEZ	     S-PER
              !	         O
            The	         O
       Spaniard	    S-MISC
          works	         O
           well	         O
             to	         O
            rob	         O
            the	         O
           ball	         O
           from	         O
         Turner	     S-PER
              ,	         O
         before	         O
        cutting	         O
         inside	         O
           from	         O
            the	         O
           left	         O
           hand	         O
           side	         O
            and	         O
         firing	         O
              a	         O
            low	         O
          drive	         O
       narrowly	         O
           wide	         O
             of	         O
          Ruddy	     S-PER
             's	         O
           near	         O
           post	         O
              .	         O
           Good	         O
           work	         O
           rate	         O
           from	         O
            the	         O
         former	         O
       Valencia	     S-LOC
            man	         O
              ,	         O
            and	         O
           that	         O
         effort	         O
           wasn	         O
             't	         O
            too	         O
            far	         O
           away	         O
           from	         O
        testing	         O
          Ruddy	     S-PER
            for	         O
            the	         O
          first	         O
          time.	         O

