              2	         O
              A	         O
        frantic	         O
          start	         O
             to	         O
            the	         O
           game	         O
           here	         O
             at	         O
         Carrow	     B-LOC
           Road	     E-LOC
              !	         O
       Elmander	     S-PER
           sees	         O
              a	         O
           shot	         O
        blocked	         O
             by	         O
       Williams	     S-PER
              ,	         O
          after	         O
           some	         O
            pin	         O
              -	         O
           ball	         O
              -	         O
          esque	         O
       football	         O
             in	         O
            the	         O
         centre	         O
             of	         O
            the	         O
           park	         O
              !	         O
            The	         O
           home	         O
          crowd	         O
            are	         O
        already	         O
        getting	         O
         behind	         O
          their	         O
           side	         O
              ,	         O
        perhaps	         O
        sensing	         O
           some	         O
      frailties	         O
             in	         O
            the	         O
        Swansea	     S-LOC
        line-up	         O
          after	         O
             De	     B-PER
         Guzman	     E-PER
          gives	         O
     possession	         O
           away	         O
           with	         O
            his	         O
          first	         O
          touch	         O
             of	         O
            the	         O
           ball	         O
              .	         O

