             68	         O
            OFF	         O
            THE	         O
            BAR	         O
              !	         O
         Turner	     S-PER
             is	         O
         denied	         O
             by	         O
            the	         O
       woodwork	         O
              ,	         O
         before	         O
            the	         O
        rebound	         O
       deflects	         O
            off	         O
            the	         O
           back	         O
             of	         O
           Amat	     S-PER
             's	         O
           head	         O
         before	         O
        heading	         O
            out	         O
             of	         O
           play	         O
            for	         O
              a	         O
         corner	         O
              !	         O
        Norwich	     S-ORG
    unfortunate	         O
             to	         O
            not	         O
             be	         O
             in	         O
            the	         O
           lead	         O
            for	         O
            the	         O
          first	         O
           time	         O
          there	         O
              ,	         O
             it	         O
            was	         O
              a	         O
           very	         O
         clever	         O
        attempt	         O
           from	         O
         Turner	     S-PER
              .	         O

