             45	         O
          GREAT	         O
      DEFENDING	         O
              !	         O
       Williams	     S-PER
          makes	         O
             an	         O
      excellent	         O
          block	         O
             on	         O
            the	         O
           line	         O
              ,	         O
             to	         O
         divert	         O
              a	         O
           goal	         O
              -	         O
          bound	         O
         effort	         O
           over	         O
            the	         O
       crossbar	         O
              !	         O
             He	         O
     celebrates	         O
              ,	         O
           that	         O
             's	         O
            how	         O
           much	         O
             it	         O
          means	         O
             to	         O
           him.	         O
            The	         O
           next	         O
            set	         O
          piece	         O
             is	         O
            met	         O
             by	         O
        Bassong	     S-PER
              ,	         O
            who	         O
         thumps	         O
            his	         O
         header	         O
       narrowly	         O
           wide	         O
             of	         O
            the	         O
         target	         O
              .	         O
          Close	         O
            for	         O
        Norwich	     S-ORG
              !	         O

             45	         O
             +1	         O
          There	         O
           will	         O
             be	         O
            six	         O
        minutes	         O
             of	         O
       stoppage	         O
           time	         O
             in	         O
            the	         O
          first	         O
           half	         O
              ,	         O
            due	         O
             to	         O
            the	         O
         injury	         O
             of	         O
         Nathan	     B-PER
           Dyer	     E-PER
              .	         O
          Still	         O
           time	         O
            for	         O
        Norwich	     S-ORG
             to	         O
           find	         O
              a	         O
     confidence	         O
              -	         O
       boosting	         O
      equaliser	         O
              .	         O

             45	         O
             +3	         O
        JOHNSON	     S-PER
              !	         O
            The	         O
         former	         O
          Leeds	     S-ORG
            man	         O
       attempts	         O
              a	         O
     long-range	         O
         effort	         O
           from	         O
             30	         O
          yards	         O
              ,	         O
        despite	         O
         having	         O
        options	         O
             to	         O
            his	         O
           left	         O
            and	         O
            his	         O
          right	         O
              .	         O
            His	         O
      teammates	         O
       complain	         O
              ,	         O
            and	         O
             he	         O
     apologises	         O
              ,	         O
           that	         O
            was	         O
              a	         O
        bizarre	         O
       decision	         O
             to	         O
          shoot	         O
           from	         O
         there.	         O
         Plenty	         O
             of	         O
          white	         O
         shirts	         O
          ahead	         O
             of	         O
            him	         O
              ,	         O
            and	         O
             he	         O
            can	         O
           only	         O
           drag	         O
            the	         O
           shot	         O
           wide	         O
             of	         O
            the	         O
           post	         O
              .	         O

             45	         O
             +4	         O
           Goal	         O
           Gary	     B-PER
         Hooper	     I-PER
    GOOOOOOOOAL	     E-PER
              !	         O
           WHAT	         O
              A	         O
           GOAL	         O
           FROM	         O
         HOOPER	     S-PER
              !	         O
      Brilliant	         O
         finish	         O
           from	         O
            the	         O
         former	         O
         Celtic	    S-MISC
            man	         O
              ,	         O
        finding	         O
            the	         O
           back	         O
             of	         O
            the	         O
            net	         O
           with	         O
              a	         O
        dipping	         O
         volley	         O
       straight	         O
           over	         O
            the	         O
            top	         O
             of	         O
           Vorm	     S-LOC
              !	         O
      Excellent	         O
     knock-down	         O
             by	         O
       Elmander	     S-PER
              ,	         O
            and	         O
           what	         O
              a	         O
         finish	         O
           that	         O
             is	         O
              !	         O

             45	         O
             +5	         O
           Well	         O
              ,	         O
        Norwich	     S-ORG
           have	         O
          their	         O
      equaliser	         O
              ,	         O
            and	         O
           what	         O
              a	         O
          clean	         O
         strike	         O
             of	         O
              a	         O
           ball	         O
           that	         O
            was	         O
              !	         O
            Not	         O
          ideal	         O
            for	         O
        Swansea	     S-ORG
              ,	         O
            who	         O
           have	         O
         become	         O
              a	         O
         little	         O
            bit	         O
           tame	         O
          since	         O
            the	         O
         injury	         O
             to	         O
           Dyer	     S-PER
              ,	         O
            and	         O
        Norwich	     S-ORG
            are	         O
             in	         O
            the	         O
     ascendancy	         O
              .	         O

             45	         O
             +6	         O
        REDMOND	     S-ORG
              !	         O
            The	         O
    19-year-old	         O
         dances	         O
         inside	         O
           from	         O
            the	         O
          right	         O
           hand	         O
           side	         O
              ,	         O
         before	         O
         firing	         O
              a	         O
    left-footed	         O
         strike	         O
           wide	         O
             of	         O
            the	         O
            far	         O
           post	         O
              !	         O
        Norwich	     S-ORG
           have	         O
         really	         O
           come	         O
             to	         O
           live	         O
             in	         O
       stoppage	         O
           time	         O
              ,	         O
             it	         O
            'll	         O
             be	         O
    interesting	         O
             to	         O
            see	         O
             if	         O
           they	         O
            can	         O
           keep	         O
             up	         O
           this	         O
       momentum	         O
             in	         O
            the	         O
         second	         O
           half	         O
              .	         O

