             32	         O
           Poor	         O
       delivery	         O
           from	         O
         Olsson	     S-PER
              !	         O
            The	         O
        Swedish	    S-MISC
       defender	         O
          beats	         O
           Dyer	     S-PER
           well	         O
              ,	         O
         before	         O
            his	         O
       eventual	         O
           ball	         O
           into	         O
            the	         O
            box	         O
        bounces	         O
       straight	         O
           into	         O
            the	         O
          hands	         O
             of	         O
           Vorm	    S-MISC
              .	         O
       Elmander	     S-PER
            and	         O
         Hooper	     S-PER
           will	         O
             be	         O
      wondering	         O
           what	         O
        exactly	         O
            the	         O
         former	         O
      Blackburn	     B-ORG
         Rovers	     E-ORG
      left-back	         O
            was	         O
         aiming	         O
            for	         O
         there.	         O

