             57	         O
      WHITTAKER	     S-PER
              !	         O
            The	         O
       Scottish	    S-MISC
     right-back	         O
          bombs	         O
           down	         O
            the	         O
          right	         O
           hand	         O
           side	         O
              ,	         O
         before	         O
          being	         O
     encouraged	         O
             to	         O
          shoot	         O
             by	         O
            the	         O
           home	         O
          crowd	         O
              .	         O
             No	     B-ORG
        Swansea	     E-ORG
        players	         O
            are	         O
       prepared	         O
             to	         O
          close	         O
           down	         O
            the	         O
      onrushing	         O
       defender	         O
              ,	         O
            but	         O
             he	         O
          drags	         O
            his	         O
       eventual	         O
         strike	         O
           wide	         O
             of	         O
            the	         O
           near	         O
           post	         O
              .	         O

