             62	         O
           Vorm	     S-PER
      continues	         O
             to	         O
           take	         O
            his	         O
           time	         O
           over	         O
            his	         O
           goal	         O
              -	         O
          kicks	         O
              ,	         O
            but	         O
        Michael	     B-PER
         Oliver	     E-PER
          still	         O
            isn	         O
             't	         O
      penalised	         O
            the	         O
        Swansea	     S-ORG
             's	         O
     goalkeeper	         O
              .	         O
            The	         O
           home	         O
          crowd	         O
            are	         O
        getting	         O
             on	         O
            his	         O
           back	         O
             at	         O
          every	         O
          given	         O
    opportunity	         O
              ,	         O
             he	         O
             's	         O
         really	         O
        wasting	         O
          time.	         O

