             64	         O
      Brilliant	         O
           last	         O
          ditch	         O
        sliding	         O
      challenge	         O
             by	         O
        Bassong	     S-PER
              !	         O
          Michu	     S-PER
         played	         O
              a	         O
     delightful	         O
        through	         O
           ball	         O
           into	         O
            the	         O
           path	         O
             of	         O
      Hernandez	     S-PER
              ,	         O
            who	         O
            was	         O
        running	         O
       shoulder	         O
              -	         O
             to	         O
              -	         O
       shoulder	         O
           with	         O
        Bassong	     S-PER
              ,	         O
            but	         O
            the	         O
    Cameroonian	    S-MISC
       defender	         O
      committed	         O
        himself	         O
            and	         O
        stabbed	         O
            the	         O
          loose	         O
           ball	         O
            out	         O
             of	         O
           play	         O
            for	         O
              a	         O
          throw	         O
              -	         O
            in.	         O

