             80	         O
        REDMOND	     S-ORG
              !	         O
            The	         O
       teenager	         O
             is	         O
         gifted	         O
            the	         O
           ball	         O
             by	         O
           Bony	    S-MISC
              ,	         O
          which	         O
         allows	         O
            for	         O
            the	         O
         former	         O
     Birmingham	     S-LOC
            man	         O
             to	         O
            try	         O
            his	         O
           luck	         O
           once	         O
          again	         O
           with	         O
            his	         O
           left	         O
           foot	         O
              .	         O
             He	         O
       balloons	         O
            his	         O
           shot	         O
           well	         O
           wide	         O
             of	         O
            the	         O
         target	         O
              .	         O

