             47	         O
           Good	         O
      clearance	         O
           from	         O
           Amat	     S-PER
              !	         O
              A	         O
         driven	         O
          front	         O
           post	         O
          cross	         O
           from	         O
         Olsson	     S-PER
             is	         O
          dealt	         O
           with	         O
           well	         O
             by	         O
            the	         O
       Spaniard	    S-MISC
              ,	         O
            and	         O
        Norwich	     S-ORG
           have	         O
        started	         O
            the	         O
         second	         O
           half	         O
       brightly	         O
              ,	         O
       harrying	         O
        Swansea	     S-ORG
            and	         O
         making	         O
             it	         O
      difficult	         O
            for	         O
            the	         O
           away	         O
           side	         O
             to	         O
           find	         O
        Shelvey	     S-PER
            and	         O
          Michu	     S-LOC
              .	         O

