             25	         O
           This	         O
          first	         O
           half	         O
            has	         O
           been	         O
         rather	         O
           even	         O
           thus	         O
            far	         O
              ,	         O
         though	         O
        Swansea	     S-ORG
           have	         O
         caused	         O
         plenty	         O
           more	         O
       problems	         O
            for	         O
          their	         O
     opposition	         O
              .	         O
           Vorm	     S-PER
            has	         O
            had	         O
         little	         O
             to	         O
             do	         O
              ,	         O
          while	         O
         Hooper	     S-PER
            and	         O
       Elmander	     S-PER
           have	         O
           been	         O
     relatively	         O
      anonymous	         O
              ,	         O
          being	         O
        starved	         O
             of	         O
       service.	         O

