             53	         O
        SHELVEY	     S-PER
              !	         O
              A	         O
        looping	         O
         effort	         O
           from	         O
            the	         O
     midfielder	         O
             is	         O
           easy	         O
            for	         O
          Ruddy	     S-PER
             to	         O
          claim	         O
              ,	         O
            but	         O
        Laudrup	     S-PER
           will	         O
             be	         O
       pleasing	         O
           with	         O
            how	         O
        Swansea	     S-ORG
           have	         O
           come	         O
           back	         O
           into	         O
           this	         O
          game.	         O

