             23	         O
          MICHU	     S-ORG
              !	         O
            The	         O
        Spanish	    S-MISC
        forward	         O
           sees	         O
              a	         O
           shot	         O
           from	         O
            the	         O
           edge	         O
             of	         O
            the	         O
            box	         O
        blocked	         O
             by	         O
         Turner	     S-PER
              ,	         O
            who	         O
          stood	         O
             up	         O
           tall	         O
             to	         O
         divert	         O
            the	         O
           ball	         O
           back	         O
             in	         O
            the	         O
      direction	         O
           that	         O
             it	         O
           came	         O
              .	         O
            The	         O
        Swansea	     S-ORG
         hitman	         O
            has	         O
           been	         O
        causing	         O
         plenty	         O
             of	         O
       problems	         O
           thus	         O
            far	         O
              ,	         O
       dropping	         O
           deep	         O
  intelligently	         O
            and	         O
        linking	         O
             up	         O
           play	         O
              .	         O

