             37	         O
          Shaky	         O
          stuff	         O
             in	         O
            the	         O
          space	         O
             of	         O
            ten	         O
        minutes	         O
           from	         O
       Williams	     S-PER
            has	         O
        allowed	         O
        Norwich	     S-ORG
             to	         O
            get	         O
          their	         O
          tails	         O
             up	         O
              .	         O
         Hooper	     S-PER
            has	         O
         looked	         O
        capable	         O
             of	         O
        finding	         O
            the	         O
            net	         O
          while	         O
             he	         O
             's	         O
           been	         O
      sparingly	         O
             in	         O
     possession	         O
              ,	         O
            and	         O
     rightfully	         O
             so	         O
              ,	         O
             he	         O
             's	         O
            got	         O
          three	         O
          goals	         O
             in	         O
            his	         O
           last	         O
           five	         O
        Norwich	     S-ORG
        outings	         O
              .	         O

