             20	         O
            The	         O
           home	         O
          crowd	         O
            are	         O
         really	         O
        getting	         O
         behind	         O
          their	         O
           side	         O
              ,	         O
    encouraging	         O
          their	         O
           side	         O
             to	         O
          press	         O
            and	         O
          harry	         O
              a	         O
        Swansea	     S-ORG
           side	         O
            who	         O
            are	         O
        getting	         O
           into	         O
          their	         O
         stride	         O
              .	         O
           Dyer	     S-PER
            and	         O
      Hernandez	     S-PER
            are	         O
        causing	         O
           real	         O
       problems	         O
           when	         O
           they	         O
            cut	         O
         inside	         O
              ,	         O
           with	         O
          their	         O
           pace	         O
        forcing	         O
            the	         O
          likes	         O
             of	         O
         Turner	     S-PER
           into	         O
        awkward	         O
     challenges	         O
              .	         O

