             71	         O
        Norwich	     S-ORG
           have	         O
         kicked	         O
           back	         O
           into	         O
           gear	         O
             in	         O
            the	         O
           last	         O
            ten	         O
        minutes	         O
              ,	         O
             as	         O
           this	         O
           game	         O
      continues	         O
             to	         O
          swing	         O
             in	         O
         favour	         O
             of	         O
         either	         O
           side	         O
              .	         O
        Redmond	     S-PER
      continues	         O
             to	         O
             be	         O
            the	         O
           main	         O
         threat	         O
            for	         O
        Hughton	     S-PER
             's	         O
            men	         O
              ,	         O
            but	         O
           they	         O
            've	         O
          moved	         O
            the	         O
           ball	         O
         nicely	         O
             at	         O
           time	         O
             to	         O
        quickly	         O
     transition	         O
             up	         O
            the	         O
          field	         O
              .	         O

