              4	         O
        Norwich	     S-ORG
            are	         O
       pressing	         O
           high	         O
             up	         O
            the	         O
          field	         O
             in	         O
            the	         O
          early	         O
         stages	         O
              ,	         O
        forcing	         O
        Swansea	     S-ORG
     constantly	         O
      backwards	         O
            and	         O
           into	         O
       unforced	         O
         errors	         O
              .	         O
            The	         O
           away	         O
           side	         O
       normally	         O
           look	         O
      extremely	         O
    comfortable	         O
             on	         O
            the	         O
           ball	         O
              ,	         O
            but	         O
            are	         O
        looking	         O
              a	         O
           tiny	         O
            bit	         O
      flustered	         O
             in	         O
            the	         O
        opening	         O
        minutes	         O
           here	         O
              .	         O

