             56	         O
           Vorm	     S-PER
             is	         O
         facing	         O
            the	         O
          wrath	         O
             of	         O
            the	         O
         Carrow	     B-LOC
           Road	     E-LOC
          crowd	         O
              ,	         O
             as	         O
            the	         O
       Dutchman	    S-MISC
             is	         O
         really	         O
         taking	         O
            his	         O
           time	         O
           over	         O
            any	         O
          kicks	         O
              .	         O
        Despite	         O
            his	         O
           side	         O
          being	         O
          level	         O
              ,	         O
            the	         O
        Swansea	     S-ORG
     goalkeeper	         O
        appears	         O
             to	         O
             be	         O
          under	         O
    instruction	         O
             to	         O
           slow	         O
            the	         O
           game	         O
           down	         O
       whenever	         O
       possible	         O
              .	         O

