             90	         O
            Yet	         O
          again	         O
              ,	         O
        Shelvey	     S-PER
             is	         O
             in	         O
          acres	         O
             of	         O
          space	         O
             in	         O
             an	         O
       advanced	         O
       position	         O
              ,	         O
            but	         O
            his	         O
       teammate	         O
        neglect	         O
             to	         O
           give	         O
            him	         O
            the	         O
           ball	         O
              !	         O
        Another	         O
         attack	         O
           from	         O
            the	         O
           away	         O
           side	         O
         breaks	         O
           down	         O
              ,	         O
             as	         O
          Lamah	     S-PER
             's	         O
           pass	         O
           from	         O
            the	         O
           left	         O
          rolls	         O
          under	         O
        Pozuelo	     S-PER
             's	         O
           boot	         O
              .	         O

             90	         O
             +1	         O
          Great	         O
       covering	         O
           from	         O
         Olsson	     S-PER
              !	         O
        Shelvey	     S-PER
          plays	         O
              a	         O
        one-two	         O
           with	         O
        Pozuelo	     S-PER
              ,	         O
         before	         O
            the	         O
       Spaniard	    S-MISC
          races	         O
           into	         O
            the	         O
            box	         O
            and	         O
           gets	         O
             to	         O
            the	         O
         byline	         O
              .	         O
            The	         O
        Swedish	    S-MISC
      left-back	         O
         slides	         O
             in	         O
           well	         O
             to	         O
            put	         O
            the	         O
           ball	         O
         behind	         O
            for	         O
              a	         O
         corner	         O
              .	         O
          Ruddy	     S-PER
         claims	         O
            the	         O
      resulting	         O
            set	         O
          piece	         O
              .	         O

             90	         O
             +3	         O
        Swansea	     S-ORG
           have	         O
         looked	         O
            the	         O
           more	         O
      dangerous	         O
             in	         O
           last	         O
            ten	         O
        minutes	         O
              ,	         O
           with	         O
            the	         O
          likes	         O
             of	         O
        Shelvey	     S-PER
            and	         O
        Pozuelo	     S-LOC
        popping	         O
             up	         O
             in	         O
      dangerous	         O
          areas	         O
              .	         O
        Norwich	     S-ORG
           will	         O
             be	         O
     devastated	         O
             to	         O
          leave	         O
          today	         O
        without	         O
              a	         O
          share	         O
             of	         O
            the	         O
         spoils	         O
              ,	         O
             so	         O
        Hughton	     S-PER
             's	         O
            men	         O
           will	         O
             be	         O
        wanting	         O
             to	         O
           keep	         O
         things	         O
          tight	         O
              .	         O

