             46	         O
             We	         O
            're	         O
       underway	         O
            for	         O
            the	         O
         second	         O
           half	         O
              !	         O
        Swansea	     S-ORG
           have	         O
         plenty	         O
             to	         O
             do	         O
             if	         O
           they	         O
            are	         O
             to	         O
       overturn	         O
            the	         O
           home	         O
           side	         O
             's	         O
       momentum	         O
              ,	         O
          after	         O
         Hooper	     S-PER
             's	         O
     well-timed	         O
          first	         O
           half	         O
       stoppage	         O
           time	         O
      equaliser	         O
              .	         O

