              6	         O
        Swansea	     S-ORG
            are	         O
        getting	         O
           into	         O
          their	         O
         rhythm	         O
              ,	         O
       knocking	         O
            the	         O
           ball	         O
         around	         O
             in	         O
      intricate	         O
      triangles	         O
           with	         O
           only	         O
            one	         O
          touch	         O
           each	         O
              .	         O
        Norwich	     S-ORG
           have	         O
          given	         O
            the	         O
           ball	         O
           away	         O
              a	         O
            few	         O
          times	         O
             in	         O
          quick	         O
     succession	         O
             on	         O
            the	         O
           edge	         O
             of	         O
          their	         O
        penalty	         O
          area.	         O
            Not	         O
            the	         O
           most	         O
     convincing	         O
          start	         O
           from	         O
            the	         O
           home	         O
           side	         O
              .	         O

