             14	         O
       HANDBALL	     S-ORG
              !	         O
            The	         O
        Norwich	     S-ORG
           fans	         O
            and	         O
        players	         O
          alike	         O
          claim	         O
            for	         O
            the	         O
        penalty	         O
              ,	         O
          after	         O
         Rangel	     S-PER
   accidentally	         O
      handballs	         O
              a	         O
            Fer	    S-MISC
         header	         O
              !	         O
            The	         O
        referee	         O
          doesn	         O
             't	         O
          point	         O
             to	         O
            the	         O
           spot	         O
              ,	         O
        however	         O
              ,	         O
            and	         O
        rightly	         O
             so	         O
              .	         O
            The	         O
       Spaniard	    S-MISC
          could	         O
           have	         O
           done	         O
        nothing	         O
          about	         O
           that	         O
              ,	         O
             he	         O
           wasn	         O
             't	         O
           even	         O
         facing	         O
            the	         O
           ball	         O
              !	         O

