             75	         O
        MISTAKE	         O
              !	         O
           Vorm	     S-PER
          tries	         O
             to	         O
          punch	         O
            the	         O
           ball	         O
            off	         O
            the	         O
           head	         O
             of	         O
          Jordi	     B-PER
           Amat	     E-PER
              ,	         O
            but	         O
          flaps	         O
             at	         O
            the	         O
      clearance	         O
              ,	         O
         almost	         O
     permitting	         O
            Fer	     S-ORG
             to	         O
           turn	         O
            the	         O
          loose	         O
           ball	         O
           into	         O
             an	         O
          empty	         O
            net	         O
              !	         O
            The	         O
          tight	         O
          angle	         O
          works	         O
             in	         O
        Swansea	     S-LOC
             's	         O
         favour	         O
              .	         O

