             51	         O
          Great	         O
       delivery	         O
           from	         O
        Shelvey	     S-PER
              !	         O
            The	         O
         former	         O
      Liverpool	     S-ORG
            man	         O
          whips	         O
             in	         O
              a	         O
        testing	         O
          cross	         O
           from	         O
            the	         O
          right	         O
           hand	         O
           side	         O
              ,	         O
        forcing	         O
          Ruddy	     S-PER
             to	         O
           come	         O
            out	         O
            and	         O
          claim	         O
            the	         O
          loose	         O
           ball	         O
          under	         O
       pressure	         O
           from	         O
       Williams	     S-PER
              .	         O
            The	         O
          Swans	    S-MISC
        captain	         O
         almost	         O
        manages	         O
             to	         O
            rob	         O
             it	         O
           from	         O
            the	         O
          glove	         O
             of	         O
            the	         O
     Englishman	    S-MISC
              .	         O

