              9	         O
        Another	         O
            set	         O
          piece	         O
             is	         O
          fired	         O
       straight	         O
           into	         O
            the	         O
         gloves	         O
             of	         O
          Ruddy	     S-PER
              ,	         O
            and	         O
        Swansea	     S-ORG
           have	         O
           been	         O
       wasteful	         O
           with	         O
          their	         O
        opening	         O
        corners	         O
            and	         O
     free-kicks	         O
              .	         O
          After	         O
              a	         O
        frantic	         O
          start	         O
             to	         O
            the	         O
           game	         O
              ,	         O
        Swansea	     S-ORG
           have	         O
        settled	         O
            the	         O
         better	         O
             of	         O
            the	         O
            two	         O
           side	         O
              ,	         O
       knocking	         O
            the	         O
           ball	         O
         around	         O
           with	         O
     confidence	         O
            and	         O
        forcing	         O
         Turner	     S-PER
           into	         O
            two	         O
           good	         O
  interceptions	         O
              .	         O

