             17	         O
              A	         O
      searching	         O
           ball	         O
           from	         O
      Hernandez	     S-PER
          which	         O
            was	         O
        looking	         O
            for	         O
        Shelvey	     S-PER
        bounces	         O
        through	         O
             to	         O
          Ruddy	     S-PER
           with	         O
           ease	         O
              .	         O
            The	         O
        Swansea	     S-ORG
       midfield	         O
             is	         O
       rotating	         O
           with	         O
           such	         O
     regularity	         O
           that	         O
            the	         O
          hosts	         O
            are	         O
         having	         O
           real	         O
        trouble	         O
        keeping	         O
         tracks	         O
             of	         O
            the	         O
          likes	         O
             of	         O
          Michu	     S-LOC
            and	         O
        Shelvey	     S-PER
              .	         O
            The	         O
         former	         O
       Charlton	     S-ORG
       teenager	         O
             is	         O
         moving	         O
        between	         O
            the	         O
          lines	         O
      unchecked	         O
              .	         O

