             50	         O
        BENTEKE	     S-LOC
              !	         O
              !	         O
           What	         O
              a	         O
         chance	         O
              .	         O
           That	         O
            was	         O
        perfect	         O
            for	         O
          Villa	     S-PER
             to	         O
       equalise	         O
           from	         O
              !	         O
       Westwood	     S-ORG
           with	         O
              a	         O
         superb	         O
           pass	         O
           into	         O
          space	         O
            for	         O
        Benteke	     S-PER
              ,	         O
            who	         O
       controls	         O
       expertly	         O
            but	         O
          makes	         O
              a	         O
          total	         O
           hash	         O
             of	         O
            the	         O
         finish	         O
              .	         O
        Carrick	     S-PER
          comes	         O
           back	         O
             to	         O
          clear	         O
            the	         O
           ball	         O
         behind	         O
              .	         O

