             14	         O
              A	         O
        stunned	         O
        silence	         O
             at	         O
            Old	     B-LOC
       Trafford	     E-LOC
              ,	         O
           from	         O
            the	         O
           home	         O
        section	         O
         anyway	         O
              ,	         O
             as	         O
          Villa	     S-PER
           take	         O
              a	         O
       deserved	         O
           lead	         O
              .	         O
            Sir	         O
           Alex	     B-PER
       Ferguson	     E-PER
              ,	         O
             in	         O
            the	         O
       director	         O
             's	         O
            box	         O
              ,	         O
          looks	         O
       unamused	         O
              .	         O
           What	         O
            can	         O
            the	         O
            Red	    B-MISC
         Devils	    E-MISC
             do	         O
             to	         O
        recover	         O
           from	         O
            the	         O
        setback	         O
              ?	         O

