             16	         O
         Sloppy	         O
           from	         O
     Manchester	     B-ORG
         United	     E-ORG
           once	         O
         again.	         O
          David	     B-PER
             de	     I-PER
            Gea	     E-PER
     untroubled	         O
           from	         O
              a	         O
           goal	         O
              -	         O
           kick	         O
              ,	         O
            and	         O
             he	         O
             is	         O
    immediately	         O
          under	         O
       pressure	         O
           from	         O
          Delph	     S-PER
              ,	         O
            who	         O
       deflects	         O
            the	         O
           goal	         O
              -	         O
           kick	         O
        towards	         O
              a	         O
          throw	         O
              -	         O
            in.	         O

             16	         O
         Yellow	         O
           Card	         O
      Alexander	     S-PER
              B	         O
          ttner	         O

