             24	         O
       Fellaini	     S-PER
       combines	         O
           with	         O
        Buttner	     S-PER
             on	         O
            the	         O
            far	         O
           left	         O
           wing	         O
             as	         O
       Fletcher	     S-PER
          picks	         O
             up	         O
            the	         O
          loose	         O
           ball	         O
     attempting	         O
             to	         O
           lift	         O
            the	         O
           ball	         O
            for	         O
         Kagawa	     S-PER
             to	         O
           give	         O
          chase	         O
              .	         O
       Thwarted	         O
             by	         O
          Vlaar	     S-PER
              .	         O

