             35	         O
            Ten	         O
        minutes	         O
             to	         O
             go	         O
          until	         O
      half-time	         O
              ,	         O
            and	         O
             it	         O
        remains	         O
            1-1	         O
           here	         O
             at	         O
            Old	     B-LOC
       Trafford	     E-LOC
              .	         O
         Rooney	     S-PER
           with	         O
            his	         O
           12th	         O
           goal	         O
        against	         O
          Villa	     S-PER
              ,	         O
         making	         O
           them	         O
            his	         O
      favourite	         O
      opponents	         O
              .	         O

