              1	         O
       Underway	         O
             at	         O
            OLD	     B-LOC
       TRAFFORD	     E-LOC
              !	         O
          Aston	     B-ORG
          Villa	     E-ORG
            get	         O
             us	         O
          going	         O
              ,	         O
      attacking	         O
           from	         O
          right	         O
             to	         O
           left	         O
             in	         O
           what	         O
             is	         O
              a	         O
         lovely	         O
      afternoon	         O
             in	         O
     Manchester	     S-LOC
              .	         O
           Will	     B-ORG
         United	     E-ORG
           rise	         O
             to	         O
            the	         O
      challenge	         O
              ?	         O
             We	         O
           soon	         O
          shall	         O
            see	         O
              .	         O

