             87	         O
         YELLOW	         O
           CARD	         O
              -	         O
         Ciaran	     B-PER
          Clark	     E-PER
              .	         O
            The	     B-ORG
          Villa	     E-ORG
       defender	         O
             is	         O
         booked	         O
            for	         O
         taking	         O
           down	         O
       Fellaini	     S-PER
              .	         O
           That	         O
             's	         O
            the	         O
          third	         O
             of	         O
          Villa	     S-PER
             's	         O
           back	         O
           four	         O
           that	         O
           have	         O
           been	         O
      cautioned	         O
              .	         O

