             74	         O
           Very	         O
        audible	         O
   instructions	         O
           from	         O
           Paul	     B-PER
        Lambert	     E-PER
            who	         O
             is	         O
      screaming	         O
             at	         O
            his	         O
        players	         O
             to	         O
            get	         O
        forward	         O
             at	         O
         United	     S-LOC
              .	         O
           They	         O
           have	         O
            the	         O
         chance	         O
             to	         O
            now	         O
              ,	         O
        through	         O
          Tonev	     S-PER
              ,	         O
            who	         O
        strikes	         O
           from	         O
       distance	         O
              ,	         O
            but	         O
            can	         O
             't	         O
           keep	         O
             it	         O
           down	         O
              .	         O

