              3	         O
          Quite	         O
              a	         O
       measured	         O
          start	         O
           from	         O
          Villa	     S-PER
              ,	         O
            who	         O
           have	         O
           made	         O
      overtures	         O
             in	         O
            the	         O
     opposition	         O
           half	         O
             in	         O
          these	         O
          early	         O
         stages	         O
              .	         O
        Weimann	     S-PER
       attempts	         O
             to	         O
           make	         O
              a	         O
            run	         O
              ,	         O
            but	         O
             is	         O
            met	         O
             by	         O
     resistance	         O
           from	         O
        Buttner	     S-PER
            who	         O
           gets	         O
            the	         O
           ball	         O
           away	         O
              .	         O

