              6	         O
     Agbonlahor	     S-PER
          makes	         O
              a	         O
            run	         O
           down	         O
            the	         O
           left	         O
           wing	         O
              ,	         O
           with	         O
             an	         O
         option	         O
             on	         O
            his	         O
           left	         O
             as	         O
       Bertrand	     S-PER
          moves	         O
             on	         O
            the	         O
        overlap	         O
              .	         O
             He	         O
             is	         O
        upended	         O
             by	         O
         Rafael	     S-PER
              ,	         O
             as	         O
            the	         O
       visitors	         O
            win	         O
              a	         O
      free-kick	         O
              .	         O
    Unnecessary	         O
      challenge	         O
              .	         O

